Qcold  Pump, Run #1
Time ( s )	Energy ( J )
105,850	148,453
105,950	148,463
106,050	148,465
106,150	148,466
106,250	148,469
106,350	148,485
106,450	148,503
106,550	148,509
106,650	148,511
106,750	148,542
106,850	148,572
106,950	148,572
107,050	148,615
107,150	148,658
107,250	148,658
107,350	148,658
107,450	148,658
107,550	148,665
107,650	148,683
107,750	148,693
107,850	148,693
107,950	148,696
108,050	148,703
108,150	148,718
108,250	148,745
108,350	148,773
108,450	148,801
108,550	148,817
108,650	148,817
108,750	148,819
108,850	148,820
108,950	148,845
109,050	148,870
109,150	148,870
109,250	148,870
109,350	148,889
109,450	148,908
109,550	148,908
109,650	148,916
109,750	148,933
109,850	148,958
109,950	148,973
110,050	148,973
110,150	148,973
110,250	148,973
110,350	148,973
110,450	148,987
110,550	149,026
110,650	149,053
110,750	149,053
110,850	149,053
110,950	149,053
111,050	149,053
111,150	149,071
111,250	149,088
111,350	149,088
111,450	149,088
111,550	149,088
111,650	149,094
111,750	149,106
111,850	149,112
111,950	149,122
112,050	149,138
112,150	149,153
112,250	149,169
112,350	149,177
112,450	149,216
112,550	149,256
112,650	149,256
112,750	149,256
112,850	149,256
112,950	149,256
113,050	149,256
113,150	149,256
113,250	149,256
113,350	149,256
113,450	149,256
113,550	149,256
113,650	149,256
113,750	149,256
113,850	149,256
113,950	149,256
114,050	149,258
114,150	149,260
114,250	149,287
114,350	149,312
114,450	149,312
114,550	149,312
114,650	149,318
114,750	149,324
114,850	149,324
114,950	149,331
115,050	149,348
115,150	149,356
115,250	149,356
115,350	149,364
115,450	149,371
115,550	149,371
115,650	149,374
115,750	149,377
115,850	149,384
115,950	149,392
116,050	149,396
116,150	149,401
116,250	149,401
116,350	149,401
116,450	149,403
116,550	149,406
116,650	149,406
116,750	149,406
116,850	149,406
116,950	149,406
117,050	149,406
117,150	149,406
117,250	149,406
117,350	149,417
117,450	149,436
117,550	149,448
117,650	149,451
117,750	149,451
117,850	149,451
117,950	149,451
118,050	149,451
118,150	149,451
118,250	149,451
118,350	149,451
118,450	149,451
118,550	149,451
118,650	149,464
118,750	149,477
118,850	149,477
118,950	149,477
119,050	149,477
119,150	149,477
119,250	149,477
119,350	149,477
119,450	149,477
119,550	149,487
119,650	149,498
119,750	149,498
119,850	149,498
119,950	149,498
120,050	149,498
120,150	149,498
120,250	149,498
120,350	149,498
120,450	149,498
120,550	149,498
120,650	149,498
120,750	149,498
120,850	149,498
120,950	149,498
121,050	149,498
121,150	149,498
121,250	149,498
121,350	149,498
121,450	149,498
121,550	149,498
121,650	149,498
121,750	149,498
121,850	149,498
121,950	149,498
122,050	149,498
122,150	149,498
122,250	149,498
122,350	149,498
122,450	149,498
122,550	149,498
122,650	149,498
122,750	149,498
122,850	149,498
122,950	149,498
123,050	149,498
123,150	149,498
123,250	149,498
123,350	149,498
123,450	149,498
123,550	149,498
123,650	149,498
123,750	149,498
123,850	149,498
123,950	149,498
124,050	149,498
124,150	149,498
124,250	149,498
124,350	149,498
124,450	149,498
124,550	149,498
124,650	149,498
124,750	149,498
124,850	149,498
124,950	149,498
125,050	149,498
125,150	149,498
125,250	149,498
125,350	149,498
125,450	149,498
125,550	149,498
125,650	149,498
125,750	149,498
125,850	149,498
125,950	149,498
126,050	149,498
126,150	149,498
126,250	149,498
126,350	149,498
126,450	149,498
126,550	149,498
126,650	149,498
126,750	149,498
126,850	149,498
126,950	149,498
127,050	149,498
127,150	149,498
127,250	149,498
127,350	149,498
127,450	149,498
