Tc Initial, Run #1
Time ( s )	Y (  )
66,950	22,469
67,050	22,469
67,150	22,469
67,250	22,469
67,350	22,469
67,450	22,469
67,550	22,469
67,650	22,469
67,750	22,469
67,850	22,469
67,950	22,469
68,050	22,469
68,150	22,469
68,250	22,469
68,350	22,469
68,450	22,469
68,550	22,469
68,650	22,469
68,750	22,469
68,850	22,469
68,950	22,469
69,050	22,469
69,150	22,469
69,250	22,469
69,350	22,469
69,450	22,469
69,550	22,469
69,650	22,469
69,750	22,469
69,850	22,469
69,950	22,469
70,050	22,469
70,150	22,469
70,250	22,469
70,350	22,469
70,450	22,469
70,550	22,469
70,650	22,469
70,750	22,469
70,850	22,469
70,950	22,469
71,050	22,469
71,150	22,469
71,250	22,469
71,350	22,469
71,450	22,469
71,550	22,469
71,650	22,469
71,750	22,469
71,850	22,469
71,950	22,469
72,050	22,469
72,150	22,469
72,250	22,469
72,350	22,469
72,450	22,469
72,550	22,469
72,650	22,469
72,750	22,469
72,850	22,469
72,950	22,469
73,050	22,469
73,150	22,469
73,250	22,469
73,350	22,469
73,450	22,469
73,550	22,469
73,650	22,469
73,750	22,469
73,850	22,469
73,950	22,469
74,050	22,469
74,150	22,469
74,250	22,469
74,350	22,469
74,450	22,469
74,550	22,469
74,650	22,469
74,750	22,469
74,850	22,469
74,950	22,469
75,050	22,469
75,150	22,469
75,250	22,469
75,350	22,469
75,450	22,469
75,550	22,469
75,650	22,469
75,750	22,469
75,850	22,469
75,950	22,469
76,050	22,469
76,150	22,469
76,250	22,469
76,350	22,469
76,450	22,469
76,550	22,469
76,650	22,469
76,750	22,469
76,850	22,469
76,950	22,469
77,050	22,469
77,150	22,469
77,250	22,469
77,350	22,469
77,450	22,469
77,550	22,469
77,650	22,469
77,750	22,469
77,850	22,469
77,950	22,469
78,050	22,469
78,150	22,469
78,250	22,469
78,350	22,469
78,450	22,469
78,550	22,469
78,650	22,469
78,750	22,469
78,850	22,469
78,950	22,469
79,050	22,469
79,150	22,469
79,250	22,469
79,350	22,469
79,450	22,469
79,550	22,469
79,650	22,469
79,750	22,469
79,850	22,469
79,950	22,469
80,050	22,469
80,150	22,469
80,250	22,469
80,350	22,469
80,450	22,469
80,550	22,469
80,650	22,469
80,750	22,469
80,850	22,469
80,950	22,469
81,050	22,469
81,150	22,469
81,250	22,469
81,350	22,469
81,450	22,469
81,550	22,469
81,650	22,469
81,750	22,469
81,850	22,469
81,950	22,469
82,050	22,469
82,150	22,469
82,250	22,469
82,350	22,469
82,450	22,469
82,550	22,469
82,650	22,469
82,750	22,469
82,850	22,469
82,950	22,469
83,050	22,469
83,150	22,469
83,250	22,469
83,350	22,469
83,450	22,469
83,550	22,469
83,650	22,469
83,750	22,469
83,850	22,469
83,950	22,469
84,050	22,469
84,150	22,469
84,250	22,469
84,350	22,469
84,450	22,469
84,550	22,469
84,650	22,469
84,750	22,469
84,850	22,469
84,950	22,469
85,050	22,469
85,150	22,469
85,250	22,469
85,350	22,469
85,450	22,469
85,550	22,469
85,650	22,469
85,750	22,469
85,850	22,469
85,950	22,469
86,050	22,469
86,150	22,469
86,250	22,469
86,350	22,469
86,450	22,469
86,550	22,469
86,650	22,469
86,750	22,469
86,850	22,469
86,950	22,469
87,050	22,469
87,150	22,469
87,250	22,469
87,350	22,469
87,450	22,469
87,550	22,469
87,650	22,469
87,750	22,469
87,850	22,469
87,950	22,469
88,050	22,469
88,150	22,469
88,250	22,469
88,350	22,469
88,450	22,469
88,550	22,469
88,650	22,469
88,750	22,469
88,850	22,469
88,950	22,469
89,050	22,469
89,150	22,469
89,250	22,469
89,350	22,469
89,450	22,469
89,550	22,469
89,650	22,469
89,750	22,469
89,850	22,469
89,950	22,469
90,050	22,469
90,150	22,469
90,250	22,469
90,350	22,469
90,450	22,469
90,550	22,469
