Power, Run #1
Time ( s )	Input Power ( W )
70,800	1,737
70,900	1,737
71,000	1,737
71,100	1,737
71,200	1,737
71,300	1,735
71,400	1,735
71,500	1,735
71,600	1,733
71,700	1,733
71,800	1,733
71,900	1,733
72,000	1,734
72,100	1,733
72,200	1,734
72,300	1,732
72,400	1,730
72,500	1,730
72,600	1,732
72,700	1,728
72,800	1,730
72,900	1,728
73,000	1,728
73,100	1,728
73,200	1,726
73,300	1,729
73,400	1,730
73,500	1,729
73,600	1,726
73,700	1,727
73,800	1,724
73,900	1,727
74,000	1,727
74,100	1,725
74,200	1,727
74,300	1,725
74,400	1,725
74,500	1,725
74,600	1,723
74,700	1,723
74,800	1,723
74,900	1,723
75,000	1,723
75,100	1,721
75,200	1,721
75,300	1,719
75,400	1,719
75,500	1,719
75,600	1,719
75,700	1,719
75,800	1,717
75,900	1,717
76,000	1,717
76,100	1,715
76,200	1,720
76,300	1,717
76,400	1,716
76,500	1,718
76,600	1,716
76,700	1,718
76,800	1,716
76,900	1,716
77,000	1,714
77,100	1,714
77,200	1,714
77,300	1,712
77,400	1,712
77,500	1,712
77,600	1,712
77,700	1,713
77,800	1,710
77,900	1,711
78,000	1,711
78,100	1,711
78,200	1,711
78,300	1,709
78,400	1,711
78,500	1,709
78,600	1,709
78,700	1,709
78,800	1,709
78,900	1,709
79,000	1,709
79,100	1,707
79,200	1,707
79,300	1,707
79,400	1,705
79,500	1,705
79,600	1,705
79,700	1,705
79,800	1,705
79,900	1,703
80,000	1,703
80,100	1,703
80,200	1,706
80,300	1,703
80,400	1,701
80,500	1,701
80,600	1,704
80,700	1,701
80,800	1,704
80,900	1,702
81,000	1,702
81,100	1,702
81,200	1,699
81,300	1,702
81,400	1,699
81,500	1,698
81,600	1,700
81,700	1,700
81,800	1,700
81,900	1,700
82,000	1,698
82,100	1,696
82,200	1,698
82,300	1,696
82,400	1,696
82,500	1,698
82,600	1,695
82,700	1,696
82,800	1,695
82,900	1,695
83,000	1,695
83,100	1,695
83,200	1,693
83,300	1,695
83,400	1,693
83,500	1,693
83,600	1,693
83,700	1,693
83,800	1,693
83,900	1,691
84,000	1,691
84,100	1,691
