Tc Initial, Run #1
Time ( s )	Y (  )
73,450	23,247
73,550	23,247
73,650	23,247
73,750	23,247
73,850	23,247
73,950	23,247
74,050	23,247
74,150	23,247
74,250	23,247
74,350	23,247
74,450	23,247
74,550	23,247
74,650	23,247
74,750	23,247
74,850	23,247
74,950	23,247
75,050	23,247
75,150	23,247
75,250	23,247
75,350	23,247
75,450	23,247
75,550	23,247
75,650	23,247
75,750	23,247
75,850	23,247
75,950	23,247
76,050	23,247
76,150	23,247
76,250	23,247
76,350	23,247
76,450	23,247
76,550	23,247
76,650	23,247
76,750	23,247
76,850	23,247
76,950	23,247
77,050	23,247
77,150	23,247
77,250	23,247
77,350	23,247
77,450	23,247
77,550	23,247
77,650	23,247
77,750	23,247
77,850	23,247
77,950	23,247
78,050	23,247
78,150	23,247
78,250	23,247
78,350	23,247
78,450	23,247
78,550	23,247
78,650	23,247
78,750	23,247
78,850	23,247
78,950	23,247
79,050	23,247
79,150	23,247
79,250	23,247
79,350	23,247
79,450	23,247
79,550	23,247
79,650	23,247
79,750	23,247
79,850	23,247
79,950	23,247
80,050	23,247
80,150	23,247
80,250	23,247
80,350	23,247
80,450	23,247
80,550	23,247
80,650	23,247
80,750	23,247
80,850	23,247
80,950	23,247
81,050	23,247
81,150	23,247
81,250	23,247
81,350	23,247
81,450	23,247
81,550	23,247
81,650	23,247
81,750	23,247
81,850	23,247
81,950	23,247
82,050	23,247
82,150	23,247
82,250	23,247
82,350	23,247
82,450	23,247
82,550	23,247
82,650	23,247
82,750	23,247
82,850	23,247
82,950	23,247
83,050	23,247
83,150	23,247
83,250	23,247
83,350	23,247
83,450	23,247
83,550	23,247
83,650	23,247
83,750	23,247
83,850	23,247
83,950	23,247
84,050	23,247
84,150	23,247
84,250	23,247
84,350	23,247
84,450	23,247
84,550	23,247
84,650	23,247
84,750	23,247
84,850	23,247
84,950	23,247
85,050	23,247
85,150	23,247
85,250	23,247
85,350	23,247
85,450	23,247
85,550	23,247
85,650	23,247
85,750	23,247
85,850	23,247
85,950	23,247
86,050	23,247
86,150	23,247
86,250	23,247
86,350	23,247
86,450	23,247
86,550	23,247
86,650	23,247
86,750	23,247
86,850	23,247
86,950	23,247
87,050	23,247
87,150	23,247
87,250	23,247
87,350	23,247
87,450	23,247
87,550	23,247
87,650	23,247
87,750	23,247
87,850	23,247
87,950	23,247
88,050	23,247
88,150	23,247
88,250	23,247
88,350	23,247
88,450	23,247
88,550	23,247
88,650	23,247
88,750	23,247
88,850	23,247
88,950	23,247
89,050	23,247
89,150	23,247
89,250	23,247
89,350	23,247
89,450	23,247
89,550	23,247
89,650	23,247
89,750	23,247
89,850	23,247
89,950	23,247
90,050	23,247
90,150	23,247
90,250	23,247
90,350	23,247
90,450	23,247
90,550	23,247
90,650	23,247
90,750	23,247
90,850	23,247
90,950	23,247
91,050	23,247
91,150	23,247
91,250	23,247
91,350	23,247
91,450	23,247
91,550	23,247
91,650	23,247
91,750	23,247
91,850	23,247
91,950	23,247
92,050	23,247
92,150	23,247
92,250	23,247
92,350	23,247
92,450	23,247
92,550	23,247
92,650	23,247
92,750	23,247
92,850	23,247
92,950	23,247
93,050	23,247
93,150	23,247
93,250	23,247
93,350	23,247
93,450	23,247
93,550	23,247
93,650	23,247
93,750	23,247
93,850	23,247
93,950	23,247
94,050	23,247
94,150	23,247
94,250	23,247
94,350	23,247
94,450	23,247
94,550	23,247
94,650	23,247
94,750	23,247
94,850	23,247
94,950	23,247
95,050	23,247
95,150	23,247
95,250	23,247
95,350	23,247
95,450	23,247
95,550	23,247
95,650	23,247
95,750	23,247
95,850	23,247
95,950	23,247
96,050	23,247
96,150	23,247
96,250	23,247
96,350	23,247
96,450	23,247
96,550	23,247
96,650	23,247
96,750	23,247
96,850	23,247
96,950	23,247
97,050	23,247
97,150	23,247
97,250	23,247
97,350	23,247
97,450	23,247
97,550	23,247
97,650	23,247
97,750	23,247
97,850	23,247
97,950	23,247
98,050	23,247
98,150	23,247
98,250	23,247
98,350	23,247
98,450	23,247
98,550	23,247
98,650	23,247
98,750	23,247
98,850	23,247
98,950	23,247
99,050	23,247
99,150	23,247
99,250	23,247
99,350	23,247
99,450	23,247
99,550	23,247
99,650	23,247
99,750	23,247
99,850	23,247
99,950	23,247
100,050	23,247
100,150	23,247
100,250	23,247
100,350	23,247
100,450	23,247
100,550	23,247
100,650	23,247
100,750	23,247
100,850	23,247
100,950	23,247
101,050	23,247
101,150	23,247
101,250	23,247
101,350	23,247
101,450	23,247
101,550	23,247
101,650	23,247
101,750	23,247
101,850	23,247
101,950	23,247
102,050	23,247
102,150	23,247
102,250	23,247
102,350	23,247
102,450	23,247
102,550	23,247
102,650	23,247
102,750	23,247
102,850	23,247
102,950	23,247
103,050	23,247
103,150	23,247
103,250	23,247
103,350	23,247
103,450	23,247
103,550	23,247
103,650	23,247
103,750	23,247
103,850	23,247
103,950	23,247
104,050	23,247
104,150	23,247
104,250	23,247
104,350	23,247
104,450	23,247
104,550	23,247
104,650	23,247
104,750	23,247
104,850	23,247
104,950	23,247
105,050	23,247
105,150	23,247
105,250	23,247
105,350	23,247
105,450	23,247
105,550	23,247
105,650	23,247
105,750	23,247
105,850	23,247
105,950	23,247
106,050	23,247
106,150	23,247
106,250	23,247
106,350	23,247
106,450	23,247
106,550	23,247
106,650	23,247
106,750	23,247
106,850	23,247
106,950	23,247
107,050	23,247
107,150	23,247
107,250	23,247
107,350	23,247
107,450	23,247
107,550	23,247
107,650	23,247
107,750	23,247
107,850	23,247
107,950	23,247
108,050	23,247
108,150	23,247
108,250	23,247
108,350	23,247
108,450	23,247
108,550	23,247
108,650	23,247
108,750	23,247
108,850	23,247
108,950	23,247
109,050	23,247
109,150	23,247
109,250	23,247
109,350	23,247
109,450	23,247
109,550	23,247
109,650	23,247
109,750	23,247
109,850	23,247
109,950	23,247
110,050	23,247
110,150	23,247
110,250	23,247
110,350	23,247
110,450	23,247
110,550	23,247
110,650	23,247
110,750	23,247
110,850	23,247
110,950	23,247
111,050	23,247
111,150	23,247
111,250	23,247
111,350	23,247
111,450	23,247
111,550	23,247
111,650	23,247
111,750	23,247
111,850	23,247
111,950	23,247
112,050	23,247
112,150	23,247
112,250	23,247
112,350	23,247
112,450	23,247
112,550	23,247
112,650	23,247
112,750	23,247
112,850	23,247
112,950	23,247
113,050	23,247
113,150	23,247
113,250	23,247
113,350	23,247
113,450	23,247
113,550	23,247
113,650	23,247
113,750	23,247
113,850	23,247
113,950	23,247
114,050	23,247
114,150	23,247
114,250	23,247
114,350	23,247
114,450	23,247
114,550	23,247
114,650	23,247
114,750	23,247
114,850	23,247
114,950	23,247
115,050	23,247
115,150	23,247
115,250	23,247
115,350	23,247
115,450	23,247
115,550	23,247
115,650	23,247
115,750	23,247
115,850	23,247
115,950	23,247
116,050	23,247
116,150	23,247
116,250	23,247
116,350	23,247
116,450	23,247
116,550	23,247
116,650	23,247
116,750	23,247
116,850	23,247
116,950	23,247
117,050	23,247
117,150	23,247
117,250	23,247
117,350	23,247
117,450	23,247
117,550	23,247
117,650	23,247
117,750	23,247
117,850	23,247
117,950	23,247
118,050	23,247
118,150	23,247
118,250	23,247
118,350	23,247
118,450	23,247
118,550	23,247
118,650	23,247
118,750	23,247
118,850	23,247
118,950	23,247
119,050	23,247
119,150	23,247
119,250	23,247
119,350	23,247
119,450	23,247
119,550	23,247
119,650	23,247
119,750	23,247
119,850	23,247
119,950	23,247
120,050	23,247
120,150	23,247
120,250	23,247
120,350	23,247
120,450	23,247
120,550	23,247
120,650	23,247
120,750	23,247
120,850	23,247
120,950	23,247
121,050	23,247
121,150	23,247
121,250	23,247
121,350	23,247
121,450	23,247
121,550	23,247
121,650	23,247
121,750	23,247
121,850	23,247
121,950	23,247
122,050	23,247
122,150	23,247
122,250	23,247
122,350	23,247
122,450	23,247
122,550	23,247
122,650	23,247
122,750	23,247
122,850	23,247
122,950	23,247
123,050	23,247
123,150	23,247
123,250	23,247
123,350	23,247
123,450	23,247
123,550	23,247
123,650	23,247
123,750	23,247
123,850	23,247
123,950	23,247
124,050	23,247
124,150	23,247
124,250	23,247
124,350	23,247
124,450	23,247
124,550	23,247
124,650	23,247
124,750	23,247
124,850	23,247
124,950	23,247
125,050	23,247
125,150	23,247
125,250	23,247
125,350	23,247
125,450	23,247
125,550	23,247
125,650	23,247
125,750	23,247
125,850	23,247
125,950	23,247
126,050	23,247
126,150	23,247
126,250	23,247
126,350	23,247
126,450	23,247
126,550	23,247
126,650	23,247
126,750	23,247
126,850	23,247
126,950	23,247
127,050	23,247
127,150	23,247
127,250	23,247
127,350	23,247
127,450	23,247
127,550	23,247
127,650	23,247
127,750	23,247
127,850	23,247
127,950	23,247
128,050	23,247
128,150	23,247
128,250	23,247
128,350	23,247
128,450	23,247
128,550	23,247
128,650	23,247
128,750	23,247
128,850	23,247
128,950	23,247
129,050	23,247
129,150	23,247
129,250	23,247
129,350	23,247
129,450	23,247
129,550	23,247
129,650	23,247
129,750	23,247
129,850	23,247
129,950	23,247
130,050	23,247
130,150	23,247
