Power, Run #1
Time ( s )	Input Power ( W )
74,300	1,698
74,400	1,699
74,500	1,699
74,600	1,699
74,700	1,700
74,800	1,698
74,900	1,698
75,000	1,696
75,100	1,696
75,200	1,698
75,300	1,696
75,400	1,698
75,500	1,694
75,600	1,698
75,700	1,698
75,800	1,696
75,900	1,696
76,000	1,696
76,100	1,696
76,200	1,692
76,300	1,692
76,400	1,692
76,500	1,695
76,600	1,693
76,700	1,693
76,800	1,693
76,900	1,693
77,000	1,693
77,100	1,693
77,200	1,691
77,300	1,691
77,400	1,691
77,500	1,688
77,600	1,691
77,700	1,689
77,800	1,689
77,900	1,689
78,000	1,689
78,100	1,687
78,200	1,689
78,300	1,689
78,400	1,687
78,500	1,685
78,600	1,687
78,700	1,687
78,800	1,687
78,900	1,685
79,000	1,687
79,100	1,685
79,200	1,685
79,300	1,683
79,400	1,685
79,500	1,683
79,600	1,686
79,700	1,683
79,800	1,681
79,900	1,681
80,000	1,683
80,100	1,686
80,200	1,681
80,300	1,681
80,400	1,680
80,500	1,680
80,600	1,682
80,700	1,681
80,800	1,680
80,900	1,680
81,000	1,680
81,100	1,682
81,200	1,680
81,300	1,678
81,400	1,680
81,500	1,678
81,600	1,678
81,700	1,678
81,800	1,680
81,900	1,680
82,000	1,676
82,100	1,678
82,200	1,678
82,300	1,676
82,400	1,678
82,500	1,676
82,600	1,676
82,700	1,676
82,800	1,676
82,900	1,676
83,000	1,676
83,100	1,675
83,200	1,675
83,300	1,672
83,400	1,675
83,500	1,675
83,600	1,675
83,700	1,673
83,800	1,673
83,900	1,673
84,000	1,673
84,100	1,673
84,200	1,671
84,300	1,671
84,400	1,671
84,500	1,671
84,600	1,671
84,700	1,669
84,800	1,671
84,900	1,673
85,000	1,669
85,100	1,671
85,200	1,669
85,300	1,671
85,400	1,669
85,500	1,667
85,600	1,669
85,700	1,667
85,800	1,670
85,900	1,667
86,000	1,667
86,100	1,667
86,200	1,667
86,300	1,667
86,400	1,665
86,500	1,668
86,600	1,665
86,700	1,665
86,800	1,665
86,900	1,668
87,000	1,665
87,100	1,666
87,200	1,666
87,300	1,666
87,400	1,663
87,500	1,666
87,600	1,666
87,700	1,666
87,800	1,662
87,900	1,664
88,000	1,663
88,100	1,664
88,200	1,662
88,300	1,666
88,400	1,662
88,500	1,662
88,600	1,662
88,700	1,662
88,800	1,660
88,900	1,662
89,000	1,662
89,100	1,662
89,200	1,660
89,300	1,662
89,400	1,658
89,500	1,660
89,600	1,660
89,700	1,660
89,800	1,660
89,900	1,660
90,000	1,658
90,100	1,660
90,200	1,660
90,300	1,658
90,400	1,658
90,500	1,658
90,600	1,657
90,700	1,658
90,800	1,657
90,900	1,657
91,000	1,658
91,100	1,657
91,200	1,657
91,300	1,659
91,400	1,657
91,500	1,659
91,600	1,657
91,700	1,655
91,800	1,655
91,900	1,655
92,000	1,657
92,100	1,655
92,200	1,655
92,300	1,655
92,400	1,653
92,500	1,653
92,600	1,653
92,700	1,651
92,800	1,655
92,900	1,651
93,000	1,651
93,100	1,651
93,200	1,653
93,300	1,653
93,400	1,651
93,500	1,651
93,600	1,651
93,700	1,653
93,800	1,649
93,900	1,649
94,000	1,651
94,100	1,651
94,200	1,649
94,300	1,649
94,400	1,649
94,500	1,651
94,600	1,651
94,700	1,649
94,800	1,650
94,900	1,649
95,000	1,650
95,100	1,650
95,200	1,647
95,300	1,647
95,400	1,650
95,500	1,645
95,600	1,648
95,700	1,645
95,800	1,645
95,900	1,648
96,000	1,648
96,100	1,646
96,200	1,648
96,300	1,645
96,400	1,646
96,500	1,646
96,600	1,646
96,700	1,646
96,800	1,646
96,900	1,646
97,000	1,646
97,100	1,646
97,200	1,644
97,300	1,646
97,400	1,644
97,500	1,644
97,600	1,644
97,700	1,644
97,800	1,642
97,900	1,642
98,000	1,642
98,100	1,642
98,200	1,644
98,300	1,642
98,400	1,642
98,500	1,642
98,600	1,642
98,700	1,642
98,800	1,642
98,900	1,642
99,000	1,642
99,100	1,642
99,200	1,642
99,300	1,640
99,400	1,640
99,500	1,640
99,600	1,643
99,700	1,638
99,800	1,641
99,900	1,643
100,000	1,638
100,100	1,638
100,200	1,638
100,300	1,641
100,400	1,638
100,500	1,638
100,600	1,638
100,700	1,638
100,800	1,638
100,900	1,639
101,000	1,636
101,100	1,639
101,200	1,636
101,300	1,636
101,400	1,639
101,500	1,639
101,600	1,635
101,700	1,639
101,800	1,636
101,900	1,635
102,000	1,637
102,100	1,637
102,200	1,637
102,300	1,635
102,400	1,637
102,500	1,635
102,600	1,633
102,700	1,633
102,800	1,637
102,900	1,633
103,000	1,635
103,100	1,633
103,200	1,633
103,300	1,635
103,400	1,633
103,500	1,633
103,600	1,631
103,700	1,633
103,800	1,633
103,900	1,631
104,000	1,633
104,100	1,633
104,200	1,631
104,300	1,631
104,400	1,633
104,500	1,633
104,600	1,633
104,700	1,631
104,800	1,631
104,900	1,631
105,000	1,629
105,100	1,631
105,200	1,631
105,300	1,631
105,400	1,631
